"","id","smile"
"126","DB00253","[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C"
"127","DB00255","CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1"
"128","DB00257","ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1"
"129","DB00259","NC1=CC=C(C=C1)S(N)(=O)=O"
"130","DB00260","N[C@@H]1CONC1=O"
"131","DB00261","ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl"
"132","DB00262","ClCCNC(=O)N(CCCl)N=O"
"133","DB00263","CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C"
"134","DB00264","COCCC1=CC=C(OCC(O)CNC(C)C)C=C1"
"135","DB00265","CCN(C(=O)C=CC)C1=CC=CC=C1C"
"136","DB00266","OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2"
"137","DB00267","[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O"
"138","DB00268","CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1"
"139","DB00269","COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1"
"140","DB00270","COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C"
"141","DB00271","CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I"
"142","DB00272","NCCC1=CC=NN1"
"143","DB00273","[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2"
"144","DB00274","[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O"
"145","DB00275","CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O"
"146","DB00276","COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1"
"147","DB00277","CN1C2=C(NC=N2)C(=O)N(C)C1=O"
"148","DB00278","C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2"
"149","DB00279","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O"
"150","DB00280","CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C"
"151","DB00281","CCN(CC)CC(=O)NC1=C(C)C=CC=C1C"
"152","DB00282","NCCC(O)(P(O)(O)=O)P(O)(O)=O"
"153","DB00283","CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1"
"154","DB00284","[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO"
"155","DB00285","COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1"
"156","DB00287","CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F"
"157","DB00288","[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C"
"158","DB00289","CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1"
